"기관코드","병원명","주소","시도","시군구","HIRA병원명","암호화요양기호","매칭점수","매칭상태","응급의학과전문의수"
"A2200005","의료법인강릉동인병원","강원특별자치도 강릉시 강릉대로419번길 42 (포남동)","강원특별자치도","강릉시","","","0.0","미매칭",""
"A2200010","의산의료재단강릉고려병원","강원특별자치도 강릉시 옥가로 30 (옥천동)","강원특별자치도","강릉시","","","0.0","미매칭",""
"A2200038","근로복지공단동해병원","강원특별자치도 동해시 하평로 11-  (평릉동, (평릉동))","강원특별자치도","동해시","","","0.0","미매칭",""
"A2200003","의료법인동해동인병원","강원특별자치도 동해시 하평로 26-  (평릉동, (평릉동))","강원특별자치도","동해시","","","0.0","미매칭",""
"A2200046","의료법인온세움의료재단온재병원","강원특별자치도 속초시 중앙로 11 (교동)","강원특별자치도","속초시","","","0.0","미매칭",""
"A2200037","의료법인성심의료재단양구성심병원","강원특별자치도 양구군 양구읍 중심로 160","강원특별자치도","양구군","","","0.0","미매칭",""
"A2200024","의료법인성지의료재단성지병원","강원특별자치도 원주시 원일로 22 (인동)","강원특별자치도","원주시","","","0.0","미매칭",""
"A2200048","근로복지공단정선병원","강원특별자치도 정선군 정선읍 봉양1길 145","강원특별자치도","정선군","","","0.0","미매칭",""
"A2200004","근로복지공단태백병원","강원특별자치도 태백시 보드미길 8 (장성동, (장성동))","강원특별자치도","태백시","","","0.0","미매칭",""
"A2100048","원광대학교산본병원","경기도 군포시 산본로 321 (산본동)","경기도","군포시","","","0.0","미매칭",""
"A2100054","효산의료재단지샘병원","경기도 군포시 군포로 591 (당동, (G샘병원)군포샘병원)","경기도","군포시","","","0.0","미매칭",""
"A2100041","남양주한양병원","경기도 남양주시 오남읍 양지로 47-55","경기도","남양주시","","","0.0","미매칭",""
"A2100050","의료법인대인의료재단다니엘종합병원","경기도 부천시 원미구 중동로 361, 다니엘종합병원 (약대동)","경기도","부천시","","","0.0","미매칭",""
"A2100025","대진의료재단분당제생병원","경기도 성남시 분당구 서현로180번길 20 (서현동)","경기도","성남시","","","0.0","미매칭",""
"A2100016","순천의료재단성남정병원","경기도 성남시 수정구 수정로 76, 지하3~9층 (수진동)","경기도","성남시","","","0.0","미매칭",""
"A2100012","가톨릭대학교성빈센트병원","경기도 수원시 팔달구 중부대로 93 (지동)","경기도","수원시","","","0.0","미매칭",""
"A2100032","경기도의료원수원병원","경기도 수원시 장안구 수성로245번길 69 (정자동)","경기도","수원시","","","0.0","미매칭",""
"A2121061","의료법인덕산의료재단수원덕산병원","경기도 수원시 권선구 서부로 1674 (고색동)","경기도","수원시","","","0.0","미매칭",""
"A2117135","의료법인명인의료재단화홍병원","경기도 수원시 권선구 호매실로90번길 98 (호매실동)","경기도","수원시","","","0.0","미매칭",""
"A2100175","의료법인토마스의료재단윌스기념병원","경기도 수원시 팔달구 경수대로 437 (인계동)","경기도","수원시","","","0.0","미매칭",""
"A2100008","의료법인남촌의료재단시화병원","경기도 시흥시 군자천로 381, 시화병원 (정왕동)","경기도","시흥시","","","0.0","미매칭",""
"A2100027","의료법인석경의료재단센트럴병원","경기도 시흥시 공단1대로 237 (정왕동, 센트럴 병원)","경기도","시흥시","","","0.0","미매칭",""
"A2100021","의료법인플러스의료재단단원병원","경기도 안산시 단원구 원포공원1로 20 (초지동)","경기도","안산시","","","0.0","미매칭",""
"A2100045","경기도의료원안성병원","경기도 안성시 남파로 95, 경기도의료원 안성병원 (당왕동)","경기도","안성시","","","0.0","미매칭",""
"A2100015","효산의료재단안양샘병원","경기도 안양시 만안구 삼덕로 9 (안양동, 안양샘병원)","경기도","안양시","","","0.0","미매칭",""
"A2100019","(의)영문의료재단다보스병원","경기도 용인시 처인구 백옥대로1082번길 18, 다보스종합병원 (김량장동)","경기도","용인시","","","0.0","미매칭",""
"A2100122","(의)효심의료재단용인서울병원","경기도 용인시 처인구 고림로 81 (고림동)","경기도","용인시","","","0.0","미매칭",""
"A2100034","의료법인영동의료재단의정부백병원","경기도 의정부시 금신로 322 (신곡동)","경기도","의정부시","","","0.0","미매칭",""
"A2100193","경기도의료원이천병원","경기도 이천시 경충대로 2742 (관고동)","경기도","이천시","","","0.0","미매칭",""
"A2100309","의료법인갈렌의료재단박병원","경기도 평택시 송탄로 33 (장당동)","경기도","평택시","","","0.0","미매칭",""
